abandon [4'b1nd4n] vt.抛弃；放弃n.放纵；沉溺
induce [in'dju:s] vt.诱使，促使；导致
inducible [in'dju:sibl] adj.可诱导的
industrial [in'd8stri4l] adj.工业的
industrialization [in.d8stri4lai'zei5n] n.工业化
industrialized [in'd8stri4laizd] vt.工业化的
industrious [in'd8stri4s] adj.勤勉的
ineligible [in'elid94bl] adj.无资格的；不适当的
inert [i'n4:t] adj.惰性的；不活泼的
inevitably [in'evit4bli] adv.不可避免地，必然地
inextricably [in'ekstrik4bli] adv.无法摆脱地
infancy ['inf4nsi] n.幼年
infection [in'fek54n] n.传染（病）
infectious [in'fek54s] adj.传染性的，易传染的
inferior [in'fi4ri4] adj.（等级、社会地位、质量等）差的；（较）低的
inferiority [in.fi4ri'3riti] n.自卑感
infertile [in'f4:tail] adj.不肥沃的
infest [in'fest] vt.骚扰，大批滋生
infiltrate [in'filtreit] vt.使透过，渗透
inflate [in'fleit] vt.使膨胀，使充气
inflation [in'flei54n] n.通货膨胀
inflexible [in'fleks4bl] adj.坚定的
inflict [in'flikt] vt.造成；(使)遭受(痛苦、损伤等)
influential [.influ'en54l] adj.有影响的；有权势的
influenza ['influ'enz4] n.流行性感冒
influx ['infl8ks] n.流入，汇集
informal [in'f3:m4l] adj.不拘礼节的，随便的；非正式的
informed [in'f3:md] adj.受过教育的，见多识广的
infuse [in'fju:z] vt.注入，灌输
infusion [in'fju:94n] n.注入
ingenious [in'd9i:nj4s] adj.机灵的，有独创性的
ingeniously [in'd9i:nj4sli] adv.天才地，独创地
ingredient [in'gri:di4nt] n.配料，成份
inhabit [in'h1bit] vt.居住于，栖息于
inhabitant [in'h1bit4nt] n.居民，住户
inherent [in'hi4r4nt] adj.固有的，内在的
inherit [in'herit] vt.继承
inheritance [in'herit4ns] n.遗产
inhibit [in'hibit] vt.抑制；阻止
initiate [i'ni5ieit] vt.开始，发起
initial [i'ni54l] adj.最初的，初始的n.开头大写字母
initially [i'ni54li] adv.最初，开头
inject [in'd9ekt] vt.注射；注入，灌溉
innate ['ineit] adj.先天的，天生的
innermost ['in4m4ust] adj.最里面的；内心的，秘密的
innocent ['in4snt] adj.无辜的，清白的；天真的
innovation [.in4u'vei54n] n.改革，创新
innovative ['in4uveitiv] adj.创新的，革新的
innumerable [i'nju:m4r4bl] adj.无数的，数不清的
inorganic chemical [] 无机化合物
inquiry [in'kwai4ri] n.质问；调查
insanity [in's1niti] n.精神错乱，疯狂
insert [in's4:t] vt.插入
insight ['insait] n.洞察力，见识
insist [in'sist] vt.坚持认为；坚决主张
insistence [in'sist4ns] n.坚持
inspect [in'spekt] vt.检查；审查
inspection [in'spek54n] n.检查，细看
inspector [in'spekt4] n.检查员，巡视员
inspire [in'spai4] vt.鼓舞；给…以灵感
inspiring [in'spai4ri6] adj.使人振奋的，鼓舞的
inspiration [.insp4'rei54n] n.灵感
install [in'st3:l] vt.安装，设置
installment [in'st3:lm4nt] n.分期付款
instantaneous [.inst4n'teinj4s] adj.瞬间的，即刻的
instinct ['insti6kt] n.本能，直觉
instinctive [in'sti6ktiv] adj.天生的，本能的
instinctively [in'sti6ktivli] adv.本能地；凭直觉地
institute ['institju:t] n.学院；学会，协会vt.开始；制定
institution [.insti'tju:54n] n.机构；惯例
institutionalize [.insti'tju:54n4laiz] v.使制度化
instructive [in'str8ktiv] adj.有益的；教育性的
instruct [in'str8kt] vt.教；命令
instruction [in'str8k54n] n.命令，指示；教学
instrument ['instrum4nt] n.仪器；工具；乐器
instrumental [.instru'mentl] adj.有帮助的，可作为手段的adj.器具的
instrumentalist [instr4'ment4list] n.器乐家，器乐演奏者
insulation [.insju'lei54n] n.绝缘；隔离；孤立
insulin ['insjulin] n.胰岛素
insult ['ins8lt] vt.侮辱，凌辱
insulting [in's8lti6] adj.侮辱性的，欺负人的
insurmountable [.ins4'maunt4bl] adj.不能克服的，不能超越的
intact [in't1kt] adj.尚未被人碰到的，完整的
integral ['intigr4l] adj.整体的；构成整体所需的
integrate ['intigreit] vt.使成为整体，使一体化
integrated ['intigreitid] adj.整合的，一体化的
integrity [in'tegriti] n.完整性；正直，诚实
intellect ['intilekt] n.智力
intellectual [.inti'lektju4l] n.知识分子   adj. 智力的
intelligent [in'telid94nt] adj.聪明的，有才智的
intelligence [in'telid94ns] n.智力；聪明
intelligible [in'telid94bl] adj.明了的，可理解的
intense [in'tens] adj.强烈的，剧烈的
intensify [in'tensifai] vt.加强；扩大
intensive [in'tensiv] adj.加强的；集中的，密集的
intentionally [in'ten54nli] adv.有意地，特意地
intention [in'ten54n] n.意图，目的=intent
interaction [.int4r'1k54n] n.相互作用
interact [.int4r'1kt] vi.互相作用，互相影响
interactive [.int4r'1ktiv] adj.交互式的
interconnected [] adj.相互连接的
interconnecting [] adj.相互连接的
interdependence [.int4di'pend4ns] n.互相依赖
interdependent [.int4(:)di'pend4nt] adj.相互依赖的，互助的
interest ['int4rist] n.兴趣；利息
interfere [.int4'fi4] vi.妨碍；干涉
interference [.int4'fi4r4ns] n.冲突；干涉
interior [in'ti4ri4] n./adj.内部（的）
interlocking [.int4(:)'l3ki6] adj.连锁的，关联的
intermediate [.int4'mi:dj4t] adj.中间的，中级的
intermittent [.int4(:)'mit4nt] adj.间歇的，断断续续的
internal [in't4:nl] adj.内在的
interpersonal [.int4'p4:s4nl] adj.人与人之间的；关于人与人之间关系的
interpretation [in.t4:pri'tei54n] n.解释
interrupt [.int4'r8pt] vt.打断，使中断
intersect [.int4'sekt] vi.相交
intersection [.int4(:)'sek54n] n.十字路口，交叉点
interstellar ['int4(:)'stel4] adj.星际的
interval ['int4v4l] n.间隔时间
intervention [.int4(:)'ven54n] n.干涉，介入
intimate ['intimit] adj.亲密的adj.（知识）渊博的
intimacy ['intim4si] n.亲密，熟悉
intoxication [in.t3ksi'kei54n] n.陶醉，醉酒
intrepid [in'trepid] adj.勇敢的
intricate ['intrikit] adj.复杂的，错综的
intricately ['intr4kitli] adv.杂乱地
intrigue [in'tri:g] vt.激起…的兴趣
intriguing [in'tri:gi6] adj.吸引人的,引起兴趣(或好奇心)的
intrinsic [in'trinsik] adj.固有的，内在的
introspective [.intr4u'spektiv] adj.自省的，反省的
intrusion [in'tru:94n] n.侵扰，干扰
intruder [in'tru:d4] n.入侵者，闯入者
intruding [] adj.入侵性的
inundate ['in4ndeit] vt.淹没
invade [in'veid] vt.侵略，侵犯
invasion [in'vei94n] n.入侵
invader [in'veid4] n.侵略者
invariably [in've4ri4b(4)li] adv.不变地，总是
inventory ['inv4ntri] n.存货清单；库存品
invertebrate [in'v4:tibrit] n./adj.无脊椎动物（的）
investigate [in'vestigeit] vt.调查，研究
investigation [in.vesti'gei54n] n.调查
inviting [in'vaiti6] adj.诱人的，引人心动的
involuntary [in'v3l4nt4ri] adj.不知不觉地，无意识的
ion ['ai4n] n.离子
irony ['ai4r4ni] n.反讽，讽刺
ironic [ai4'r3nik] adj.讽刺的
irregular [i'regjul4] adj.不规则的，不整齐的
irregularly [i'regjul4li] adv.不规则地
irrelevant [i'reliv4nt] adj.离题的；无关的
irreparable [i'rep4r4bl] adj.不能挽回的
irresistible [.iri'zist4bl] adj.无法抗拒的,无法抵抗的;诱人的
irresponsible [.iris'p3ns4bl] adj.不负责的
irreverent [i'rev4r4nt] adj.不敬的
irreverence [i'rev4r4ns] n.不敬；不敬的行为
irreversible [.iri'v4:s4bl.-sib-] adj.不可改变的；不可撤销的
irrevocable [i'rev4k4bl] adj.不能取消的
irrigate ['irigeit] vt.灌溉
irrigation [.iri'gei54n] n.灌溉
irritate ['iriteit] vt.激怒；使过敏
irritable ['irit4bl] adj.易怒的，急躁的
irritating ['iri.teiti6] adj.刺激的；使人愤怒的，气人的
isolate ['ais4leit] vt.使隔离，使孤立
isolated ['ais4leitid] adj.与世隔绝的，偏僻的；孤独的
isolation [.ais4u'lei54n] n.隔离；孤立
issue ['i5ju:] n.问题n.（报刊的）期v.发行
itinerary [ai'tin4r4ri, i't-] n.路线
itinerant [i'tin4r4nt] adj.巡回的
injury ['ind94ri] n.伤害，侮辱
injustice [in'd98stis] n.不公平，不讲道义
illegible [i'led94bl] adj.难辨认的，字迹模糊的
illiterate [i'lit4rit] adj.不识字的，没受教育的
iterate ['it4reit] vt.反复说，重申
intermediate [.int4'mi:dj4t] adj.中间的；中级的
immigrant ['imigr4nt] n.（从外国移入的）移民，侨民
immobile [i'm4ubail] adj.稳定的，不动的，静止的
inoffensive [.in4'fensiv] adj.无害的,不触犯人的,让人不讨厌的
impartially [im'p2:54li] adv.公平地，无私地
inpractical [] adj.不切实际的
impracticality [im.pr1kti'k1liti] n.不切实际, 办不到
impulse ['imp8ls] n.推动，刺激；冲动
irradiate [i'reidieit] vt.照射
irrelevant [i'reliv4nt] adj.不相关的，不切题的
irresistible [.iri'zist4bl] adj.不可抵抗的, 不能压制的
irresponsible [.iris'p3ns4bl] adj.不负责任的，不可靠的
irreverent [i'rev4r4nt] adj.不尊敬的
irreverence [i'rev4r4ns] n.不尊敬
irreversible [.iri'v4:s4bl.-sib-] adj.不能撤回的，不能取消的
infirmary [in'f4:m4ri] n.医院, 医务室<美>养老院, 救济院
incandescent [.ink1n'desnt] adj.遇热发光的, 白炽的
intersected [] adj.分割的
intersection [.int4(:)'sek54n] n.十字路口, 交叉点
insignificant [.insig'nifik4nt] adj.无关紧要的, 可忽略的, 无意义的
ionosphere [ai'3n4sfi4] n.电离层
interstellar ['int4(:)'stel4] adj.星际的
insufficient [.ins4'fi54nt] adj.不足的，不够的
insurmountable [.ins4'maunt4bl] adj.不能克服的, 不能超越的
intense [in'tens] adj.强烈的，剧烈的
intoxication [in.t3ksi'kei54n] n.陶醉
immunity [i'mju:niti] n.免疫性
invertebrate [in'v4:tibrit] n.无脊椎动物
involuntary [in'v3l4nt4ri] adj.自然而然的，无意的
jurisdiction [.d9u4ris'dik54n] n.权限
jar [d92:] n.罐，广口瓶vt.震动；刺激，震惊
jealousy ['d9el4si] n.妒忌，羡慕
jelly ['d9eli] n.果冻，胶状物
jellyfish ['d9elifi5] n.水母
jewel ['d9u:4l] n.宝石
jewelry ['d9u:4lri] n.珠宝
jeweler ['d9u:4l4(r)] n.宝石商，宝石匠
jibe with [] 与…一致
jog [d93g] vi.慢跑
jogging ['d93gi6] n.慢跑
jolt [d94ult] n.震动，颠簸vt.使颠簸，猛击
jolting ['d94ulti6] adj.令人震惊的
journal ['d94:nl] n.期刊，杂志n.（航海）日记；分类帐
journalist ['d94:n4list] n.新闻记者
journalistic [.d94: n4'listik] adj.新闻事业的，新闻工作的
journalism ['d94:n4liz4m] n.新闻业, 报章杂志
jubilant ['d9u:bil4nt] adj.欢腾的，喜气洋洋的
judgement ['d98d9m4nt] n.判断n.判决
judicious [d9u(:)'di54s] adj.明智的；有判断力的
juice [d9u:s] n.（水果）汁，液
juicy ['d9u:si] adj.多汁液的
jumble ['d98mbl] vt.使混乱，混杂n.混乱；杂乱的一堆
junction ['d986k54n] n.连接；汇合处
juncture ['d986kt54] n.接合，接缝
jungle ['d986gl] n.丛林
jurisdiction [.d9u4ris'dik54n] n.权限；管辖范围
jury ['d9u4ri] n.陪审团
judgement ['d98d9m4nt] n.判决
justify ['d98stifai] vt.证明…是正当的或有理的；为…辩护
justice ['d98stis] n.正义，公平，公正
justly ['d98stli] adv.公正地，正当地
juvenile ['d9u:v4nail] n./adj.青少年（的）
juxtaposition [.d98kst4p4'zi54n] n.毗邻，并置，并列
keyboard ['ki:b3:d] n.键盘
kymograph ['kaim4gr2:f] n.波动曲线记录仪
keen [ki:n] adj.（感觉、观察、理解等）敏锐的，敏捷的adj.锋利的
ken [ken] n.视野，知识领域
kennel ['kenl] n.狗舍，狗窝
kernel ['k4:nl] n.仁，核心；(去壳的)麦粒，谷粒
kerosene ['ker4si:n] n.煤油
kiln [kiln, kil] n.（砖、石灰等）窑，炉
kinetic [kai'netik] adj.运动的；动力学的
kingdom ['ki6d4m] n.王国
knapsack ['n1ps1k] n.(士兵或徒步旅行者用的帆布或皮制的)背包
latitude ['l1titju:d] n.纬度
log cabin [] 小木屋
lithograph ['li74.gr2:f] n.平板印刷，平板画
laborious [l4'b3:ri4s] adj.费力的，艰难的
laboriously [l4'b3:ri4sli] adv.费力地，艰难地
laborer ['leib4r4] n.劳动者
labor movement [] 劳工运动
labor union [] 工会
labyrinth ['l1b4rin7] n.迷宫；错综复杂的事件
lace [leis] n.饰带，花边n.带子；鞋带vt.装饰，点缀
lag [l1g] vi.落后
lament [l4'ment] vt.为…悲痛，痛惜
landing ['l1ndi6] n.着陆，降落
landmass [] n.大片陆地
landscape ['l1ndskeip] n.风景，山水；风景画
landslide ['l1ndslaid] n.山崩
largely ['l2:d9li] adv.大量地，大半地
larvae ['l2:vi:] n.幼虫
larynx ['l1ri6ks] n.[解] 喉
laser ['leiz4] n.激光
lash [l15] n.鞭子v.抽打，鞭打
lasting ['l2:sti6] adj.持久的；永恒的，耐力的
long-lasting ['l36'l2:sti6] adj.持久的，永久的
latent ['leit4nt] adj.潜伏的，隐藏的
lateral ['l1t4r4l] adj.侧面的，旁边的
latitude ['l1titju:d] n.纬度，范围n.行动或言论的自由（范围）
launch [l3:nt5, l2:nt5] vt.发动n./v.发射，（使）升空
laundry ['l3:ndri] n.洗衣店, 要洗的衣服
laurels [] n.桂冠，荣誉
lava ['l2:v4] n.熔岩，岩浆
lave [leiv] vt.为沐浴, 洗
lavish ['l1vi5] adj.过分丰富的；浪费的
lawn [l3:n] n.草地，草坪，草场
lawsuit ['l3:su:t, 'l3:sju:t] n.诉讼
lay [lei] vt.产卵，下蛋
layer ['lei4] n.层，层次；阶层
layering ['lei4ri6] n.分层堆积
layman ['leim4n] n.俗人，犯人；外行
layout ['lei.aut] n.规划，设计
leading ['li:di6] adj.最主要的adj.主演的
leadership ['li:d45ip] n.领导能力，领导阶层
league [li:g] n.同盟，联盟；联合会
leak [li:k] vt.漏；渗vt.泄露
leaky ['li:ki] adj.漏的
leap [li:p] n./vi.跳跃
learn by rote [] 死记硬背学习
lease [li:s] n.租约vt.出租，租借
ledge [led9] n.壁架, 架状突出物, 暗礁, 矿层
legacy ['leg4si] n.遗产，遗物
legendary ['led94nd4ri] adj.传奇的
legend ['led94nd] n.传说；传奇文学
legible ['led94bl] adj.(指印刷或字迹)清楚地，易读的
legislation [.led9is'lei54n] n.立法n.法规
legislate ['led9is.leit] vt.立法
legislature ['led9is.leit54] n.立法机关
legume ['legju:m] n.豆类，豆荚
leisure ['le94; 'li:94] n.空闲，闲暇
leisurely ['le94li; 'li:94li] adj.从容的，悠闲的
lengthen ['le674n] vt.延长，使变长
lengthy ['le67i] adj.(演说、文章等)冗长的，啰嗦的
leopard ['lep4d] n.豹，美洲豹
lethal ['li:74l] adj.致命的
lethargic [le'72:d9ik] adj.昏睡的；懒洋洋的，萎靡不振的
lethargy ['le74d9i] n.昏睡，倦怠
lettuce ['letis] n.莴苣，生菜
liable of [] 倾向于
libel ['laib4l] n.以文字损害名誉，诽谤
liberal ['lib4r4l] adj.开放的,主张变革的,自由主义的adj.慷慨的，不拘泥的
liberate ['lib4reit] vt.释放，使自由
liberty ['lib4ti] n.自由
liberally ['lib4r4li] adv.随意地，不受限制地
life span [] 寿命
lift [lift] v.举起，升高
light bulb [] 灯泡
likewise ['laik'waiz] adv.同样地，也
limb [lim] n.肢，翼；树枝
limestone ['laim.st4un] n.石灰石
lineage ['liniid9] n.血统，世系
linen ['linin] n.亚麻布，亚麻制品
linger ['li6g4] vi.逗留；徘徊
linguistic [li6'gwistik] adj.语言上的，语言学上的
linguistics [li6'gwistiks] n.语言学
liquid ['likwid] n.液体，流体adj.液体的
literally ['lit4r4li] adv.照字面意义地，逐字地
literary ['lit4r4ri] adj.文学（上）的，从事写作的
literate ['lit4rit] adj.有文化的，有阅读和写作能力的
literacy ['lit4r4si] n.有读写能力，识字
litter ['lit4] vt.乱丢vi.乱丢垃圾n.垃圾
livelihood ['laivlihud] n.生计，谋生
lively ['laivli] adj.活泼的，活跃的；栩栩如生的
liver ['liv4] n.肝脏
livestock ['laivst3k] n.家畜，牲畜
living quarters [] 住房，住处
load [l4ud] n.重担；重任vt.装载，使负担
loathsome ['l4u0s4m, l4u7-] adj.令人讨厌的
lobby ['l3bi] n.大厅，休息厅v.游说议员
lobster ['l3bst4] n.龙虾
locate [l4u'keit] vt.找出，定位；设置
location [l4u'kei54n] n.位置，场所
locality [l4u'k1liti] n.位置，地方
locally ['l4uk4li] adv.在地方上，在当地
locomote [.l4uk4'm4ut] v.移动，行动
locomotion [l4uk4'm4u5(4)n] n.运动，移动
locomotive [.l4uk4'm4utiv] n.火车头
lodge [l3d9] n.（山林）小屋vi.寄存；临时住宿
lodging ['l3d9i6] n.寄宿，住房（常指出租的房间）
log [l3g] n.圆木；航海日志；vt. 记录
log cabin [] 小木屋
logical ['l3d9ik4l] adj.合乎逻辑的，合理的
logic ['l3d9ik] n.逻辑，逻辑学
long-range [] 远程的
longevity [l3n'd9eviti] n.长寿
longitude ['l3nd9itju:d] n.经度，经线
loom [lu:m] n.织布机vi.隐约闪现，逼近
loop [lu:p] vt.把…圈成环；缠绕n.圈，环
loose [lu:s] adj.宽松的；不牢固的
loosen ['lu:sn] vt.解开，放松
lore [l3:, l34] n.口头传说；学问，知识
lucrative ['lu:kr4tiv, lju:-] adj.赚钱的，有利可图的
lull [l8l] vt.使平静；使安静
lumber ['l8mb4] n.木材，木料
lumbering ['l8mb4ri6] n.采伐林木
luminosity [.lju:mi'n3siti] n.亮度，发光度
luminous ['lju:min4s] adj.发光的；明亮的
lunar ['lu:n4] adj.月的
lure [lju4] vt.引诱，诱惑n.饵；诱惑
luster ['l8st4] n.光彩，光泽；声望
lustrous ['l8str4s] adj.有光泽的；光辉的
luxurious [l8g'zju4ri4s] adj.奢侈的，豪华的
luxury ['l8k54ri] n.奢侈，豪华
lyric ['lirik] n.抒情诗；歌词
lyricist ['lirisist] n.抒情诗人
lyrically [] adv.抒情地
locomotion [l4uk4'm4u5(4)n] n.运动，移动
locomotive [.l4uk4'm4utiv] n.火车头
lifesaver ['laif.sev4] n.救生者, 水难救生员
lampshade ['l1mp5eid] n.灯罩
landslide ['l1ndslaid] n.[地]山崩
lithosphere ['li74.sfi4] n.[地]岩石圈
long-standing ['l36st1di6] adj.长期存在的
lawsuit ['l3:su:t, 'l3:sju:t] n.诉讼(尤指非刑事案件)
locoweed ['l4uk4uwi:d] n.[植] 疯草(牲畜食后引起疯草病)
misconception ['misk4n'sep54n] n.误解
mantle ['m1ntl] n.地幔
melodrama ['mel4dr2:m4] n.情节剧
multifaceted [] adj.多层面的
misfortune [mis'f3:t54n] n.不幸，灾祸
malfunctional [] adj.多功能的
mislead [mis'li:d] vt.误导
magic ['m1d9ik] n.魔法，魔力；魔术
magical ['m1d9ik4l] adj.魔术的，不可思议的
magician [m4'd9i54n] n.魔术师，变戏法的人
magnesium [m1g'ni:zj4m] n.镁
magnetic [m1g'netik] adj.磁的，有磁性的adj.有吸引力的
magnetic [m1g'netik] n.磁铁
magnetism ['m1gnitiz4m] n.磁，磁力
magnetize ['m1gnitaiz] vt.使磁化；吸引
magnificent [m1g'nifisnt] adj.华丽的；高尚的；丰富的
magnificence [m1g'nifisns] n.华丽，富丽堂皇
magnify ['m1gnifai] vt.放大，扩大
magnitude ['m1gnitju:d] n.大小，光度，重要
maintenance ['meintin4ns] n.维修，保养n.维持，继续
maize [meiz] n.玉米
majestic [m4'd9estik] adj.壮观的，庄严的
majesty ['m1d9isti] n.威严，最高权威
majority [m4'd93riti] n.多数
makeup ['meik8p] n.组成，结构n.补考n.化妆品
malfunction [m1l'f86k54n] n.故障，失灵
mall [m3:l] n.大规模购物中心
mallet ['m1lit] n.槌棒
malleable ['m1li4bl] adj.可锻的，可塑的，可延展的
malleability [.m1li4'biliti] n.可锻性，可塑性，延展性
malnutrition ['m1lnju(:)'tri54n] n.营养不良
mammal ['m1m4l] n.哺乳动物
mammoth ['m1m47] n.猛犸象adj.巨大的
mandatory ['m1nd4t4ri] adj.命令的，强制的
mandate ['m1ndeit] n.命令，要求
maneuver [m4'nu:v4] vt.(敏捷地)操纵；(用策略)调动n.策略，谋略
mania ['meinj4, -ni4] n.狂热
manifestation [.m1nifes'tei54n] n.表现，显示
manipulate [m4'nipjuleit] vt.操作；操纵，利用
mannerism ['m1n4riz4m] n.特殊习惯，怪癖
mansion ['m1n54n] n.大厦；公寓
mantle ['m1ntl] n.地幔；覆盖物
manual ['m1nju4l] n.手册adj.人工的，手动的
manually ['m1nju4li] adv.用手
manure [m4'nju4] n.肥料
map [m1p] vt.绘制…的地图
marble ['m2:bl] n.大理石
march [m2:t5] vi./n.前进，行进
margin ['m2:d9in] n.边缘；余地
marine [m4'ri:n] adj.海的，航海的，海产的
maritime ['m1ritaim] adj.海上的，海事的
markedly ['m2:kidli] adv.显著地，明显地
marrow cavity [] n.骨髓腔
marsh [m2:5] n.湿地，沼泽
marshy ['m2:5i] adj.沼泽的
marvel ['m2:v4l] n.奇异的事物，罕见的例子
marvelous ['m2:vil4s] adj.不可思议的；了不起的
mask [m2:sk] n.面具v.掩盖，掩饰
mason ['meisn] n.泥瓦匠
masonry ['meisnri] n.石工术；石匠职业
massive ['m1siv] adj.大而重的，庞大的；可观的
masterpiece ['m2:st4pi:s] n.杰作，名著
matching ['m1t5i6] adj.(尤指颜色或外表)相配的,一致的
matchless ['m1t5lis] adj.无敌的；无比的
mate [meit] v.结伴，成配偶n.配偶
mathematics [.m17i'm1tiks] n.数学
maverick ['m1v4rik] adj.特立独行的；不遵守传统的n.持异议者，自行其是者
meager ['mi:g4(r)] adj.缺乏的，不足的
meaningful ['mi:ni6ful] adj.意味深长的
measures [] n.措施，方法
mechanical [mi'k1nikl] adj.机械的；机械性的，呆板的
mechanics [mi'k1niks] n.机械学，力学
mechanized ['mek4naizd] adj.机械化的
mechanism ['mek4niz4m] n.机械；机理，运作机制
media ['mi:dj4] n.媒体
mediate ['mi:diit, -dj4t] v.斡旋，调停
mediator ['mi:dieit4] n.调停者
medieval [.medi'i:v4l] adj.中世纪的
medium ['mi:dj4m] n.媒体，媒介；方法
melodious [mi'l4udj4s] adj.旋律优美的，悦耳的
melody ['mel4di] n.悦耳的音调
melodic [mi'l3dik] adj.有旋律的, 调子美妙的
melodrama ['mel4dr2:m4] n.音乐剧；情节剧
membrane ['membrein] n.膜，薄膜
memo ['mem4u] n.备忘录
memory ['mem4ri] n.记忆，记忆力；回忆
memorize ['mem4raiz] vt.纪念
memorable ['mem4r4bl] adj.难忘的
memorandum [.mem4'r1nd4m] n.备忘录, 便笺
memorial [mi'm3:ri4l] n.纪念物
menace ['men4s] n.危险物vt.威吓；胁迫
mend [mend] vt.修补；改进
mention ['men54n] vt.提及；说起
menu ['menju:] n.菜单；选择单
mercantile ['m4:k4ntail] adj.商业的，贸易的
merchant ['m4:t54nt] n.商人
merchandise ['m4:t54ndaiz] n.商品
merge [m4:d9] v.（使）合并，（使）融合
merger ['m4:d94] n.合并
meridian [m4'ridi4n] n.子午线
merit ['merit] n.优点，价值
mesmerize ['mezm4raiz] vt.施催眠术；使入迷，迷住
messy ['mesi] adj.肮脏的；凌乱的
metabolism [me't1b4liz4m] n.新陈代谢
metabolic [.met4'b3lik] adj.新陈代谢的
metaphor ['met4f4] n.隐喻，暗喻
meteor ['mi:tj4] n.流星
meteorite ['mi:ti4r2it] n.陨星，陨石
meteorology [.mi:tj4'r3l4d9i] n.气象学
meteorologist [.mi:tj4'r3l4d9ist] n.气象学者
methodology [me74'd3l4d9i] n.方法论，方法学
methodically [mi'73dik4li] adv.有条理地；井然地
meticulous [mi'tikjul4s] adj.一丝不苟的，过细的
metropolitan [metr4'p3lit(4)n] adj.主要都市的，大城市的
microbe ['maikr4ub] n.微生物
microcosm ['maikr4k3z(4)m] n.微观世界
microorganism [maikr4u'3:g4niz(4)m] n.微生物
microscope ['maikr4sk4up] n.显微镜
microscopic [maikr4'sk3pik] adj.用显微镜可见的；极小的
microwave ['maikr4uweiv] n.微波（炉）
mighty ['maiti] adj.强大的，巨大的
migrant ['maigr4nt] n.候鸟；移民
migrate [mai'greit, 'maigreit] vi.移动，迁徙
migration [mai'grei54n] n.定期迁移；迁居
migratory ['maigr4t4ri, mai'greit4ri] adj.迁移的；流浪的
milestone ['mailst4un] n.里程碑；划时代的事件
milieu ['mi:lj4:] n.环境；出身背景
militant ['milit4nt] adj.好战的，好暴力的
millennia [mi'leni4] n.一千年，千禧年
millionaire [.milj4'nA4] n.百万富翁
mime [maim] vt.模拟，模仿
mimetic [mi'metik, mai-] adj.模仿的，（生物）拟态的
mimicry ['mimikri] n.（生物）拟态；模仿
mimic ['mimik] n./vt.模仿，摹拟
mingle ['mi6gl] v.（使）混合
mingling [] adj.混合的
miniature ['minj4t54] adj.微型的，缩小的n.缩小的模型，缩图，缩影
minimize ['minimaiz] v.最小化，减到最小
minimal ['minim4l] adj.最小的，最少的
minimalist ['minim4list] n.最低限要求者
minimum ['minim4m] adj.最小的，最低的n.最小值，最小化
minority [mai'n3riti, mi-] n.少数；少数民族
minuscule [mi'n8skju:l] adj.极小的
minute [mai'nju:t] adj.微小的
miraculous [mi'r1kjul4s] adj.奇迹的，不可思议的
miracle ['mir4kl] n.奇迹，奇事
mirage ['mir2:9] n.海市蜃楼，幻景
miserable ['miz4r4bl] adj.痛苦的，悲惨的，可怜的
mislead [mis'li:d] vt.使误入歧途，误导
misleading [mis'li:di6] adj.使人误解的；骗人的
mistrust ['mis'tr8st] vt.不信任，不相信，怀疑
mistrustful of [] 不相信，怀疑
mitigate ['mitigeit] vt.使减轻，使缓和
moat [m4ut] n.护城河，壕沟
mobile ['m4ubail] adj.可移动的adj.易变的
mobility [m4u'biliti] n.流动性；灵活性
mock [m3k] v.（模仿性的）嘲笑
mockingbird ['m3ki6b&4:d] n.（动物）仿声鸟
moderate ['m3d4rit] adj.温和的；适度的，有节制的vt.使缓和，使稳定
modest ['m3dist] adj.谦虚的；适度的
modify ['m3difai] vt.修改，变更
moist [m3ist] adj.潮湿的，多雨的
moisten ['m3isn] vt.弄湿，使湿润
moisture ['m3ist54] n.潮湿，湿气；湿度
mold [m4uld] vt.塑造n.模子；铸型n.霉菌
molecule ['m3likju:l, 'm4u-] n.分子
molecular [m4u'lekjul4] adj.分子的
molten ['m4ult4n] adj.熔融的，熔化的
monarch ['m3n4k] n.君主，帝王
monetary ['m8nit4ri] adj.货币的，金钱的
monitor ['m3nit4] vt.监控；监测
monochromatic ['m3n4ukr4u'm1tik] adj.单色的，一色的
monopolize [m4'n3p4laiz] vt.独占，垄断
monopoly [m4'n3p4li] n.独占，垄断
monotonous [m4'n3t4n4s] adj.单调乏味的，无变化的
monster ['m3nst4] n.怪物，巨兽
monument ['m3njum4nt] n.纪念碑；纪念物
mounmental [] adj.杰出的，不朽的
morale [m3'r2:l] n.士气
morphololgy [] n.形态学，形态论
mortal ['m3:tl] n.凡人，人类adj.必死的；致命的
most distinctive [] 最杰出的，典型的
motif [m4u'ti:f] n.（作品）主题，主旨
motion ['m4u54n] n.运动
motionless ['m4u5(4)nlis] adj.不动的，静止的
motivate ['m4utiveit] vt.激发，刺激
motivation [.m4uti'vei54n] n.动机，刺激
motive ['m4utiv] n.动机
mourning ['m3:ni6] n.悲恸，服丧
mournful ['m3:nful] adj.悲痛的，悲哀的
mouth [mau7] n.入口
mud mortar [] 灰泥浆
mortar ['m3:t4] n.灰泥；臼, 研钵
mulberry ['m8lb4ri] n.桑树
multicellular [.m8lti'seljul4] adj.多细胞的
multi-faceted [] adj.多方面的；多才多艺的
multiple ['m8ltipl] adj.多样的，多重的n.倍数
multiply ['m8ltiplai] v.繁殖，增加v.乘（by）
